best_deceptive2_step1_poor7rich3
eval_cnt fitness r/i/p
1 -0.15035377002018704 i
2 -0.168618600545598 i
3 -0.19107145558455346 i
9 -0.4254252540564466 i
19 -0.43006120063557085 r
30 -0.4316834818452356 r
40 -0.43605890877485903 r
50 -0.44089568157342174 r
60 -0.45983809674788495 r
150 -0.4692668837500038 r
180 -0.4761005927364848 r
199 -0.49016982530478104 r
269 -0.49337748909054213 r
371 -0.4934958610354207 r
402 -0.4935294404970097 r
422 -0.4936866044415269 r
452 -0.49368967237084543 r
482 -0.4938198598504223 r
492 -0.4940151449689676 r
512 -0.49427299312645884 r
552 -0.49435222536668566 r
573 -0.4945489851464239 r
603 -0.4945788808721691 r
613 -0.49471176444222714 r
633 -0.4947503806667967 r
651 -0.5725538638742598 r
723 -0.5979659955269586 r
744 -0.639764350124343 r
754 -0.6644163623903858 r
824 -0.6691578891392943 r
855 -0.7181136954598745 r
875 -0.7326861751796345 r
885 -0.7654313987338435 r
895 -0.7659660736821078 r
915 -0.7920772586090636 r
925 -0.828541353881729 r
965 -0.8351617766518887 r
985 -0.8879911837057608 r
995 -0.9346573193175578 r
1015 -0.9393582871097246 r
1036 -0.9892525510473718 r
1177 -0.9892525511862381 r
1187 -0.9892829468839709 r
1287 -0.9892829484530993 r
1307 -0.9893149796635172 r
1317 -0.9894220835733638 r
1327 -0.9894549961813703 r
1378 -0.9895765121841603 r
1418 -0.9898551141935796 r
1428 -0.9901376827657242 r
1448 -0.9902869589024276 r
1459 -0.9911633167393022 r
1469 -0.9919875194032438 r
1519 -0.9929399505887743 r
1539 -0.9937519675561979 r
1549 -0.9947851102409732 r
1559 -0.9949131517643022 r
1589 -0.9952180488735779 r
1619 -0.9960905932542757 r
1680 -0.9965873967477622 r
1720 -0.9972040374076678 r
1751 -0.9977301509839135 r
1761 -0.9981967184222166 r
1771 -0.9990113344709308 r
1811 -0.9993393879726465 r
1882 -0.9993393887396574 r
1892 -0.9994985905251396 r
1902 -0.9996640758413636 r
1912 -0.9996807016747314 r
1942 -0.9997267541323347 r
2013 -0.9997267542909257 r
2023 -0.9998077428688155 r
2033 -0.9999663058995424 r
2143 -0.9999663066154564 r
2214 -0.9999663079254519 r
2285 -0.9999663083046213 r
2355 -0.9999663085722501 r
2446 -0.9999663090148138 r
2496 -0.9999725094564996 r
2567 -0.9999725098379265 r
2648 -0.9999725098832223 r
2698 -0.9999845505032626 r
2779 -0.9999845515959783 r
2860 -0.9999845522845436 r
2951 -0.9999845529446421 r
3021 -0.9999845534295405 r
3112 -0.9999845553369973 r
3193 -0.9999845563191597 r
3294 -0.9999845581427191 r
3334 -0.9999942225119391 r
3425 -0.999994224127592 r
3495 -0.9999942251263124 r
3576 -0.9999942257405914 r
3657 -0.9999942275685983 r
3728 -0.9999942283018624 r
3839 -0.999994228845938 r
3919 -0.9999942295238601 r
3990 -0.9999942313902951 r
4081 -0.9999942318682961 r
4151 -0.9999942332438693 r
4242 -0.99999423361356 r
4313 -0.9999942350186174 r
4394 -0.9999942362318124 r
4484 -0.9999942364094033 r
4555 -0.9999942365272889 r
4626 -0.9999942377216305 r
4696 -0.999994239615769 r
4767 -0.9999942406239641 r
4838 -0.9999942407839834 r
4908 -0.9999942419513808 r
4979 -0.9999942432018498 r
5007 -0.999997804138857 r
5080 -0.9999978051878898 r
5150 -0.9999978066191897 r
5221 -0.999997807080419 r
5302 -0.9999978080024347 r
5372 -0.9999978080539379 r
5443 -0.9999978086522219 r
5514 -0.999997808939787 r
5604 -0.9999978115843758 r
5675 -0.9999978135078225 r
5746 -0.9999978155101737 r
5816 -0.9999978174690209 r
5887 -0.9999978197762167 r
5968 -0.9999978200331486 r
6048 -0.9999978201757289 r
6129 -0.9999978217931386 r
6281 -0.9999978225489463 r
6371 -0.9999978232486635 r
6472 -0.9999978233535238 r
6543 -0.9999978235334397 r
6644 -0.9999978240928415 r
6714 -0.9999978243224431 r
6785 -0.9999978254552366 r
6866 -0.9999978264731222 r
6947 -0.999997827059267 r
7017 -0.9999978271047338 r
7098 -0.9999978292127026 r
7189 -0.9999978292798289 r
7259 -0.9999978293514282 r
7340 -0.9999978312969428 r
7411 -0.9999978318754759 r
7491 -0.9999978321573945 r
7592 -0.9999978324872812 r
7663 -0.9999978341570246 r
7754 -0.9999978359982082 r
7824 -0.9999978370376554 r
7895 -0.9999978382116959 r
7966 -0.9999978399844621 r
8036 -0.9999978416108901 r
8107 -0.9999978437279018 r
8198 -0.9999978447452122 r
8268 -0.9999978467171945 r
8349 -0.9999978492019592 r
8490 -0.9999978502210827 r
8561 -0.9999978502389706 r
8632 -0.9999978508949705 r
8753 -0.9999978515623736 r
8823 -0.9999978521817173 r
8894 -0.999997854510386 r
8965 -0.9999978571194879 r
9045 -0.9999978574394881 r
9146 -0.9999978589037928 r
9237 -0.9999978593203401 r
9308 -0.9999978599457934 r
9389 -0.9999978607831781 r
9489 -0.9999978619362542 r
9560 -0.9999978648125519 r
9641 -0.999997865137597 r
9722 -0.9999978655993726 r
9792 -0.999997867615252 r
9903 -0.9999978677208263 r
9984 -0.9999978695598873 r
10055 -0.9999978701798561 r
10176 -0.9999978712719223 r
10256 -0.9999978720269918 r
10327 -0.999997872715902 r
10408 -0.9999978727162984 r
10478 -0.9999978729679068 r
10559 -0.9999978735848558 r
10630 -0.9999978747646728 r
10700 -0.9999978767357058 r
10781 -0.9999978782028914 r
10862 -0.9999978785423994 r
10953 -0.9999978785650013 r
11023 -0.9999978792417102 r
11094 -0.9999978805126609 r
