best_dj2_step0_poor5rich5
eval_cnt fitness r/i/p
1 19.41615524490565 i
2 6.755975908401231 i
3 0.9609818998556838 i
5 0.7864600031267206 i
15 0.7286882456767507 p
29 0.6959438627780117 r
49 0.49507713730760694 r
59 0.4168147627753691 r
60 0.36688900924459283 r
70 0.29759249729945586 r
80 0.22520365886600976 r
90 0.1281782773279807 r
100 0.12696666006832932 r
110 0.06942672539477769 r
120 0.02775717442250822 r
170 0.004983311145702015 r
240 0.001016561158728588 r
320 5.044576142334384e-05 r
470 5.0310073601065656e-05 r
480 4.95605923457933e-05 r
530 4.94121210379428e-05 r
540 4.6335498355724956e-05 r
550 3.9893494862408795e-05 r
560 3.7327794156590157e-05 r
570 3.5573183037273184e-05 r
580 3.0729506799857855e-05 r
590 2.8822430857345288e-05 r
630 2.542144092796755e-05 r
660 2.380079317740297e-05 r
671 2.887138628511101e-06 p
881 2.8836884533580666e-06 r
891 2.8201810284798157e-06 r
910 1.7517125716536556e-06 r
921 1.596888313509357e-07 r
1051 1.5968882714679245e-07 r
1061 1.2691786362918378e-07 r
1071 1.0461609956035442e-07 r
1081 9.756797475691353e-08 r
1101 1.8339011362451238e-08 r
1141 1.7728665406225365e-09 r
1211 1.7728651337036904e-09 r
1272 3.375406934798558e-10 r
1352 3.3753993151220176e-10 r
1423 3.3753924856436913e-10 r
1473 1.4023227723082555e-11 r
1544 1.402312349716786e-11 r
1625 1.40222851142652e-11 r
1726 1.4021934832376453e-11 r
1796 1.4021400262111027e-11 r
1887 1.4020614236948817e-11 r
1968 1.4020150507672391e-11 r
2039 1.4020078325704673e-11 r
2119 1.4020058185827705e-11 r
2190 1.40197102350041e-11 r
2271 1.4019239799144334e-11 r
2392 1.4018755758863794e-11 r
2462 1.4018675891962535e-11 r
2533 1.4018238063456415e-11 r
2604 1.4017965188631724e-11 r
2674 1.4017099886823501e-11 r
2745 1.4016497213753155e-11 r
2826 1.4016461441414376e-11 r
2927 1.4016006048999314e-11 r
2997 1.4015511004076427e-11 r
3098 1.4015416425707912e-11 r
