best_rastrigin2_step0_poor3rich7
eval_cnt fitness r/i/p
1 55.577501184646046 i
2 32.68717479352554 i
3 3.6172955016873516 i
15 3.214862367957302 r
40 2.128086077231295 r
59 1.0781638336199038 r
140 1.0032080207345082 r
351 1.00301638309125 r
361 1.0029205460767727 r
381 1.0026598473556554 r
422 1.0022876981841087 r
432 1.0022090480855503 r
462 1.0014897596580852 r
482 1.0009162298393157 r
492 1.0000920289237065 r
502 0.9998120607434124 r
532 0.9991767297072087 r
552 0.9989770449417463 r
562 0.9988897736090863 r
572 0.9985817299565696 r
602 0.9981702242117798 r
612 0.9980309124835145 r
622 0.9978331942509229 r
643 0.9970951963218937 r
663 0.9962566116093683 r
693 0.9956682926670304 r
713 0.9954537498834028 r
733 0.9951757502930292 r
793 0.9950309809189761 r
834 0.9950220768134486 r
854 0.9950018045189282 r
924 0.99500180451275 r
975 0.9950005686801688 r
1015 0.9949941421809605 r
1045 0.9949856846524909 r
1116 0.9949856846410441 r
1126 0.9949850244966818 r
1136 0.9949820038574018 r
1146 0.9949766734235581 r
1156 0.9949742615531889 r
1196 0.9949656640844893 r
1226 0.9949592084136931 r
1297 0.9949592084136611 r
1337 0.994959079598388 r
1438 0.994959079598047 r
1509 0.9949590795979972 r
1579 0.9949590795978267 r
1630 0.9949590593751267 r
1639 0.9949590590644561 r
1710 0.9949590590644064 r
1781 0.9949590590642998 r
1862 0.994959059064243 r
1932 0.9949590590641648 r
2023 0.9949590590641151 r
2052 0.9949590583638503 r
2124 0.9949590583638077 r
2195 0.9949590583637615 r
2275 0.994959058363758 r
2346 0.9949590583637189 r
2417 0.9949590583637118 r
2518 0.994959058363655 r
2588 0.9949590583636478 r
2669 0.994959058363623 r
2704 0.4312903493574751 r
2870 0.22852136098823905 r
2941 0.03341284152454449 r
3011 0.00624819254333886 r
3082 0.006248192476128622 r
3092 0.006223732947297833 r
3102 0.006098038716444876 r
3142 0.005880656237781778 r
3163 0.005726453334943926 r
3183 0.005546974044495556 r
3193 0.005391380878570828 r
3213 0.005014364830266516 r
3243 0.004949916937444954 r
3253 0.0046431316135269185 r
3274 0.003876961814320623 r
3314 0.0035039766453834886 r
3364 0.0033729191402258607 r
3385 0.0032626539183659986 r
3405 0.002763674095305646 r
3435 0.0023286053720816824 r
3475 0.0020181134388082 r
3536 0.0017106643480531147 r
3546 0.0013895789755586918 r
3566 0.0009711657972104604 r
3576 0.00035991151948877587 r
3586 0.00033908506998514554 r
3647 3.688824879333197e-05 r
3677 8.680416730300067e-06 r
3768 8.680412939554571e-06 r
3788 7.764522628406212e-06 r
3808 4.76723093356668e-06 r
3819 2.826224630325669e-06 r
3839 3.257705429859925e-07 r
3909 3.257691822966535e-07 r
3980 3.2576818753682346e-07 r
4000 1.4954148497281494e-07 r
4030 7.680919367203387e-08 r
4101 7.680894498207635e-08 r
4182 7.680871050297355e-08 r
4262 7.680851155100754e-08 r
4313 3.837346440604961e-09 r
4384 3.8373144661818515e-09 r
4394 2.1059278765278577e-09 r
4474 2.105835505972209e-09 r
4595 2.1058106369764573e-09 r
4666 2.1056649757156265e-09 r
4757 2.105586816014693e-09 r
4868 2.1055086563137593e-09 r
4908 2.052125580576103e-09 r
4999 2.05210426429403e-09 r
5069 2.05201544645206e-09 r
5170 2.0519159704690537e-09 r
5271 2.051912417755375e-09 r
5352 2.0518342580544413e-09 r
5432 2.0518164944860473e-09 r
5503 2.0518129417723685e-09 r
5574 2.0517454402124713e-09 r
5675 2.051699254934647e-09 r
5755 2.0515784626695677e-09 r
5826 2.051464775831846e-09 r
5897 2.0513475362804456e-09 r
5967 2.0512800347205484e-09 r
6038 2.0511734533101844e-09 r
6189 2.051095293609251e-09 r
6280 2.0510633191861416e-09 r
6361 2.050946079634741e-09 r
6452 2.0508643672201288e-09 r
6522 2.0507826548055164e-09 r
6603 2.0506938369635463e-09 r
6684 2.050679626108831e-09 r
6754 2.0505659392711095e-09 r
6824 2.0504771214291395e-09 r
6895 2.050430936151315e-09 r
6965 2.050342118309345e-09 r
7076 2.0502284314716235e-09 r
7147 2.050128955488617e-09 r
7218 2.050079217497114e-09 r
7308 2.049986846941465e-09 r
7408 2.049866054676386e-09 r
7479 2.049809211257525e-09 r
7550 2.049791447689131e-09 r
7630 2.049773684120737e-09 r
7711 2.049681313565088e-09 r
7792 2.0496457864283e-09 r
7893 2.049574732154724e-09 r
7994 2.0494965724537906e-09 r
8064 2.0493864383297478e-09 r
8155 2.049311831342493e-09 r
8226 2.049223013500523e-09 r
8337 2.049183933650056e-09 r
8428 2.049134195658553e-09 r
8508 2.0490489305302617e-09 r
8579 2.048938796406219e-09 r
8650 2.0488428731368913e-09 r
8730 2.0488002405727457e-09 r
8801 2.0487895824317093e-09 r
8872 2.0487291862991697e-09 r
8952 2.0486083940340905e-09 r
9063 2.048583525038339e-09 r
9134 2.048494707196369e-09 r
9205 2.048441416491187e-09 r
9316 2.0484094420680776e-09 r
9386 2.0483383877945016e-09 r
9457 2.0483099660850712e-09 r
9528 2.048203384674707e-09 r
9598 2.0481394358284888e-09 r
9679 2.0480683815549128e-09 r
9759 2.0480186435634096e-09 r
9840 2.047990221853979e-09 r
9911 2.047904956725688e-09 r
10042 2.047833902452112e-09 r
10123 2.0477735063195723e-09 r
10193 2.047759295464857e-09 r
10274 2.047638503199778e-09 r
10345 2.047620739631384e-09 r
10415 2.0475354745030927e-09 r
10506 2.0474715256568743e-09 r
10577 2.047407576810656e-09 r
10647 2.0472867845455767e-09 r
10738 2.0472334938403947e-09 r
10819 2.0471127015753154e-09 r
10900 2.0470380945880606e-09 r
10970 2.047016778305988e-09 r
11061 2.046924407750339e-09 r
11132 2.046796510057902e-09 r
11202 2.0467325612116838e-09 r
11283 2.0466508487970714e-09 r
11354 2.0465549255277438e-09 r
11424 2.046494529395204e-09 r
11515 2.046441238690022e-09 r
11586 2.0464199224079493e-09 r
