best_shubert2_step0_poor3rich7
eval_cnt fitness r/i/p
1 -0.1830154446832766 i
2 -49.82132187064192 i
9 -64.09553330300842 i
19 -76.43382440552746 r
260 -78.69264511615475 r
280 -79.0147313924334 r
300 -79.03814396234323 r
330 -79.39662200999105 r
401 -79.39767712161692 r
411 -79.39803078039213 r
421 -79.39803215643477 r
492 -79.3980321569056 r
502 -79.39808853356485 r
532 -79.3984057181271 r
542 -79.39850092329839 r
572 -79.39928121356122 r
592 -79.40000992542002 r
602 -79.40122372783868 r
623 -79.40306359897103 r
633 -79.40357486766479 r
643 -79.404754299234 r
653 -79.4048603731226 r
673 -79.40600909258553 r
693 -79.4068755400153 r
744 -79.40786209497756 r
754 -79.40931638655547 r
804 -79.40964466579227 r
824 -79.41022638706491 r
835 -79.41039815022025 r
845 -79.41051778666453 r
875 -79.41064445678369 r
915 -79.41082420288497 r
925 -79.4108803880575 r
1006 -79.41088038806895 r
1026 -79.41088775087339 r
1046 -79.41088846923476 r
1056 -79.41089295891165 r
1087 -79.41090660273234 r
1107 -79.41090751366828 r
1137 -79.41091303154799 r
1207 -79.41091303154884 r
1308 -79.4109130315515 r
1379 -79.4109130315531 r
1449 -79.41091303155373 r
1530 -79.41091303155456 r
1580 -79.41091313410467 r
1651 -79.41091313410494 r
1661 -79.41091313962468 r
1690 -79.41091314777357 r
1762 -79.4109131477752 r
1782 -79.41091317432215 r
1853 -79.41091317432277 r
1893 -79.41091321573359 r
1964 -79.4109132157338 r
2054 -79.41091321573406 r
2125 -79.41091321573421 r
2206 -79.4109132157343 r
2276 -79.41091321573465 r
2357 -79.41091321573501 r
2428 -79.4109132157352 r
2498 -79.41091321573533 r
2569 -79.41091321573568 r
2639 -79.41091321573609 r
2730 -79.41091321573623 r
2801 -79.41091321573641 r
2872 -79.41091321573644 r
2902 -79.41091322253693 r
2983 -79.41091322253703 r
3083 -79.41091322253718 r
3285 -79.41091322253725 r
3386 -79.41091322253729 r
3457 -79.41091322253736 r
3554 -121.34403422653007 r
3648 -123.2674575249892 r
3943 -165.2661927510132 p
4000 -174.15128462724667 r
4040 -178.9600022535287 r
4182 -179.1991295381842 r
4303 -182.05448558746315 r
4626 -184.44911950291555 r
4656 -186.71387309235305 r
4858 -186.71387309289068 r
4868 -186.71396207193268 r
4878 -186.71448871620913 r
4898 -186.71589942597188 r
4908 -186.71610340302556 r
4928 -186.7186799303265 r
4938 -186.72130353897523 r
4948 -186.72159450899272 r
4959 -186.7218767149418 r
4979 -186.72424874466026 r
4999 -186.72533928413787 r
5009 -186.72700072987558 r
5019 -186.72753505267096 r
5029 -186.7288315985777 r
5080 -186.72938733289286 r
5140 -186.73070429896978 r
5181 -186.7308592670062 r
5281 -186.73085926706335 r
5322 -186.7308778650914 r
5352 -186.7308981998256 r
5392 -186.73090325512368 r
5463 -186.7309032551433 r
5473 -186.73090660660662 r
5493 -186.73090759744343 r
5574 -186.73090759745412 r
5584 -186.73090810395846 r
5675 -186.73090810396204 r
5685 -186.73090837116686 r
5756 -186.73090837117485 r
5836 -186.7309083711795 r
5907 -186.73090837118528 r
5937 -186.73090881320687 r
6008 -186.73090881320763 r
6089 -186.73090881320766 r
6159 -186.730908813208 r
6240 -186.73090881320857 r
6310 -186.7309088132098 r
6391 -186.730908813211 r
6491 -186.73090881321232 r
6562 -186.73090881321335 r
6633 -186.73090881321355 r
6703 -186.73090881321363 r
6784 -186.73090881321437 r
6875 -186.73090881321576 r
6946 -186.73090881321613 r
6966 -186.73090882278282 r
7036 -186.73090882278342 r
7107 -186.73090882278396 r
7178 -186.73090882278424 r
