pass_rich_deceptive2_step1_poor10rich0
eval_cnt worst_rich_fitness new_rich_fitness
19 -0.23501143660072776 -0.40845058809657936
119 -0.4705109513343276 -0.5223726232649557
491 -0.5664038927476496 -0.5693598163516657
499 -0.5693598163516657 -0.5777330737811689
579 -0.5777330737811689 -0.5835421047656046
609 -0.5835421047656046 -0.6034296094689133
692 -0.6237317585376575 -0.6308731709584573
758 -0.674343909242486 -0.6764746953063496
776 -0.7048466556262685 -0.7146059207924296
780 -0.7048466556262685 -0.7270371215274491
789 -0.7270371215274491 -0.7547142372422649
859 -0.7547142372422649 -0.7557512564922548
958 -0.7557512564922548 -0.7587716681515759
11145 -0.7661964182597863 -0.9231501584606308
12414 -0.9231501584606308 -0.9316226996704254

16 -0.3807705556352951 -0.38090804384255456
29 -0.40354219427423615 -0.4359713333145824
301 -0.5957486427246192 -0.9091818874522642
401 -0.9438660476088806 -0.9552948607570887
621 -0.9666260588713905 -0.9676507936181691
744 -0.9676507936181691 -0.9800936905565474
773 -0.9800936905565474 -0.9904469205322706

11 -0.08773520766247316 -0.4022014460447344
12 -0.08773520766247316 -0.28814927839992366
13 -0.08773520766247316 -0.12366444019165615
17 -0.08773520766247316 -0.5696423252422114
18 -0.08773520766247316 -0.22510875215083856
230 -0.8872690818281727 -0.9061743465445543
239 -0.9061743465445543 -0.9475216715253462
240 -0.9061743465445543 -0.9083299503566248
299 -0.9475216715253462 -0.9503422687271812
329 -0.9503422687271812 -0.953064473157621
370 -0.953064473157621 -0.976340157765171
420 -0.976340157765171 -0.9837452605861603
428 -0.9837452605861603 -0.9934952225826137
560 -0.9934952225826137 -0.9936849000508327

12 -0.015127389658564536 -0.14657194109097035
13 -0.015127389658564536 -0.09898468594012033
14 -0.015127389658564536 -0.30798613728685037
16 -0.015127389658564536 -0.2167783214229017
17 -0.015127389658564536 -0.09230535765183662
18 -0.015127389658564536 -0.0435329848119185
19 -0.015127389658564536 -0.08464463729363698
119 -0.32863406031415726 -0.35057492961760905
260 -0.45682199376004434 -0.6889294676086491
320 -0.8738527993638071 -0.8828247379900247
747 -0.986375620196706 -0.9892566581313977
934 -0.9892566581313977 -0.9922102822714436

12 -0.09615490210976316 -0.35169806457361585
13 -0.09615490210976316 -0.440524577265218
14 -0.09615490210976316 -0.23043870653625084
17 -0.09615490210976316 -0.11180739569877825
18 -0.09615490210976316 -0.13716948010428578
19 -0.09615490210976316 -0.16768918975711172
140 -0.5939981688335784 -0.658141140751968
240 -0.9038201470286548 -0.9589863459397117
300 -0.9589863459397117 -0.9597964319069926
310 -0.9597964319069926 -0.9639679947590256
330 -0.9639679947590256 -0.9695561024211476
510 -0.9713921441916191 -0.9835070739099675
580 -0.9835070739099675 -0.9846861514361619
701 -0.9846861514361619 -0.9852955001857722
833 -0.9853957993099739 -0.9944720212101602

12 -0.08956261634457287 -0.24262893065353927
13 -0.08956261634457287 -0.1786987034370527
14 -0.08956261634457287 -0.20793890925463998
15 -0.08956261634457287 -0.1379551473279868
16 -0.08956261634457287 -0.23325610341091815
19 -0.08956261634457287 -0.16834193796452765
84 -0.30679735024751636 -0.3217542314076593
93 -0.325645511966108 -0.3485652734529918
98 -0.325645511966108 -0.3296591978126532
118 -0.35224560494068446 -0.3557428935440787
127 -0.3557428935440787 -0.4422655823742576
2411 -0.7672657594936014 -0.8086306937831353
2507 -0.8086306937831353 -0.9213165699771522
2558 -0.9213165699771522 -0.9535256170626341
2627 -0.9535256170626341 -0.9566416945693712
3095 -0.9566416945693712 -0.9636217958892488
3587 -0.9636217958892488 -0.9913534022816604

11 -0.05167088521998727 -0.16447441727895964
13 -0.05167088521998727 -0.1894409757516502
