pass_rich_shubert2_step1_poor10rich0
eval_cnt worst_rich_fitness new_rich_fitness
11 11.061572054430327 -2.982146342493447
12 11.061572054430327 -39.22567199785412
13 11.061572054430327 9.248158175519984
14 11.061572054430327 -7.6798657355944675
16 11.061572054430327 -1.0220045637529518
17 11.061572054430327 -4.899291508125186
18 11.061572054430327 -9.201667578808133
19 11.061572054430327 -64.20034840761305
993 -79.37899269109641 -161.97944058033872

11 5.592973455241628 0.049467869523461536
13 5.592973455241628 -34.75160507562482
14 5.592973455241628 -0.41427193005901364
15 5.592973455241628 2.4400947861574975
17 5.592973455241628 -4.915536529700183
19 5.592973455241628 0.5600918888129295
543 -123.22982579448013 -123.43870694397849
623 -123.43870694397849 -123.4556384702393
719 -123.48055435913803 -135.58249939543572
851 -169.01734190046318 -171.5343399251292
872 -174.68673962425908 -185.89931611532083
874 -174.68673962425908 -181.8823447252824
1020 -186.0656103867178 -186.65286558159636
1353 -186.65286558159636 -186.6657190289395

18 -13.264393547620399 -25.863148471717423
57 -25.863148471717423 -32.37686327394761
69 -32.37686327394761 -33.113778677585856
74 -33.113778677585856 -38.170023051036225
79 -33.113778677585856 -56.918855915474296
89 -56.918855915474296 -66.61998889981065
99 -67.04264625500967 -95.45501503916408
633 -123.2369557957553 -169.1212794929208
703 -173.97810713321186 -175.37862094535788
885 -182.9673195144371 -184.27075178529017
905 -184.27075178529017 -185.59533653719348
1256 -186.56864058991556 -186.62558175561702
1318 -186.62558175561702 -186.6274493318243

11 4.205289439495486 -6.59152428551856
12 4.205289439495486 -4.651156227408548
13 4.205289439495486 -6.540804492841649
17 4.205289439495486 -23.019580221844475
18 4.205289439495486 -7.153760800243155
19 4.205289439495486 -8.689540771954531
109 -28.74274655162004 -32.50041235153753
189 -47.931038106614075 -55.29501722776909
726 -79.38712855758922 -96.68224876363402
863 -158.8984536770986 -162.86715369310232
864 -158.8984536770986 -186.04314964807455
874 -186.04314964807455 -186.17066168047558
994 -186.17066168047558 -186.24286588230757
1083 -186.24286588230757 -186.70303578118126

11 3.166820090410477 -4.6602567574532
12 3.166820090410477 -19.988622105144106
13 3.166820090410477 -5.953767969239278
15 3.166820090410477 -7.949888859487769
16 3.166820090410477 -5.815594640014074
17 3.166820090410477 -0.3156585041641721
162 -37.864627670994835 -38.04212922656065
220 -38.04212922656065 -38.26213736814721
609 -38.28654336255921 -39.4692859998141
706 -38.292185488438896 -38.430174219028075
752 -52.67552304252336 -53.217861359013014
753 -52.67552304252336 -53.3950472334906
792 -53.3950472334906 -53.53464724249208
793 -53.3950472334906 -53.95830587490479
910 -54.29281945326685 -72.54979786384169
977 -183.48775973593345 -184.63057880449736
994 -185.8692172729317 -186.22648263067524
1185 -186.57918429651787 -186.60419948519626
1275 -186.60419948519626 -186.60577565857827
1299 -186.60577565857827 -186.67156835314094
1436 -186.67156835314094 -186.68837349014836
1715 -186.71882149993954 -186.71951429340353

11 6.3690677162938965 2.8133859349840424
12 6.3690677162938965 -0.21813589010080592
14 6.3690677162938965 -13.601834207228046
15 6.3690677162938965 0.6782362186173998
18 6.3690677162938965 -12.497411594825747
19 6.3690677162938965 4.786422822243728
210 -24.864998335267106 -24.903501807235283
230 -24.903501807235283 -24.931632328198887
269 -24.932068835498146 -33.057740609862314
470 -37.5622163174451 -47.16860803584807
471 -37.5622163174451 -37.60735406985287
571 -77.45103895343405 -107.24903230266885

18 -5.609834839544647 -9.026522114245944
59 -10.279683633321149 -10.75870838384392
68 -10.75870838384392 -10.942175905651398
74 -13.300727053597159 -16.13579707960303
78 -13.300727053597159 -23.106646409490956
79 -13.300727053597159 -16.402762687885435
128 -24.041045561956526 -29.888878434167065
259 -38.055202639723014 -41.656930897706964
461 -52.27641112237298 -55.11265357577397
621 -76.62205721166335 -76.8824564148249
632 -77.48094559619824 -98.70029268908618
722 -163.86687483650118 -171.7785527800083
730 -171.7785527800083 -180.98824666230473
741 -180.98824666230473 -182.11599653920882
760 -184.1733947796461 -186.1934706529192
761 -184.1733947796461 -185.393140737068
812 -186.1934706529192 -186.37841842307378
842 -186.37841842307378 -186.66352718446166
858 -186.66352718446166 -186.71252308314374
1012 -186.71252308314374 -186.72452983540225

13 -16.257500038562238 -45.16453350017519
89 -48.71504246194848 -48.74779509064929
199 -49.31608748419122 -49.37126637978889
209 -49.37126637978889 -49.37655853167219
309 -49.41258608881803 -49.462360449244464
430 -49.4660374668454 -49.468842906325115
499 -49.46884290638613 -66.70249868839744
500 -49.46884290638613 -49.46947047703273
621 -78.19513514510814 -78.31825999216028
631 -78.5065612056753 -79.31306563330942
699 -79.31306563330942 -99.73540541783608
921 -185.39200564456613 -186.20365916991443
922 -185.39200564456613 -185.69909831244132
932 -186.20365916991443 -186.23163379697166
982 -186.23163379697166 -186.25461049397444
1051 -186.25461049397444 -186.41071168203553
1101 -186.41071168203553 -186.51942265541996
1121 -186.51942265541996 -186.5736512055045
1128 -186.5736512055045 -186.58630044154444
1151 -186.58630044154444 -186.69217673889418
1333 -186.70058646530816 -186.71414484280592
1393 -186.71414484280592 -186.71440002017263

11 41.1526472003763 -3.004227030566622
12 41.1526472003763 2.735135941945745
13 41.1526472003763 0.3914525488566542
14 41.1526472003763 -20.056176823404087
15 41.1526472003763 -12.191953955198958
16 41.1526472003763 -16.824005192906945
17 41.1526472003763 6.956440770860688
18 41.1526472003763 -0.6246419870915254
19 41.1526472003763 -3.0922159204968658
140 -35.55981225189306 -37.02075369480751
363 -39.577814225262316 -43.757882594933726
421 -39.58822233480384 -49.64810915846264
489 -64.28014981702695 -72.25149008666256
500 -74.80670800659017 -78.95931233986092
561 -78.95931233986092 -79.10189029606015
632 -79.10189029606015 -79.3448738842696
679 -79.3448738842696 -131.30987735166136
761 -183.33404326355148 -184.01478155694497
868 -186.11909781159744 -186.1297285838245
900 -186.1297285838245 -186.4491999042268
1041 -186.4491999042268 -186.50721344398488
1073 -186.50721344398488 -186.68279165552923

110 -50.98365784929796 -77.16164364797307
551 -123.38267390921644 -132.23178549795045
1096 -186.6710745168508 -186.69287387615378
1157 -186.69287387615378 -186.6945997019575
1306 -186.70271525135846 -186.72593366470485
1378 -186.72593366470485 -186.72702144870527

11 2.2296452878671658 -43.77811199545263
12 2.2296452878671658 -12.754764969032923
15 2.2296452878671658 -2.261754296886555
19 2.2296452878671658 -9.253498087370549
240 -54.03452499757874 -54.22644385971346
290 -54.22644385971346 -54.27551938437855
410 -54.28342772705945 -54.347045245899764
419 -54.347045245899764 -54.398326426491586
853 -54.40293521262327 -65.36331228765496
974 -73.74427334690007 -87.8107642232526
1035 -117.33523278229384 -120.36784442059813
1125 -120.43020503640793 -122.28928298975997
1133 -122.28928298975997 -122.53862947948788
1160 -122.53862947948788 -122.56373447017107
1164 -122.53862947948788 -123.30892003849303
1192 -123.30892003849303 -123.52371875693225
1223 -123.52371875693225 -123.57356972611325
2599 -123.57677030866341 -135.54181444793423
2655 -135.54181444793423 -173.33605364340445
2664 -173.33605364340445 -179.50367098966757
2692 -179.50367098966757 -180.1840887189231
2739 -180.1840887189231 -181.56261732934058
2749 -181.56261732934058 -181.65256061805877
2751 -181.56261732934058 -182.9494275526505
2851 -182.9494275526505 -185.6076074022828
3106 -185.6076074022828 -186.58220351369232

11 -0.3270717126395122 -1.0402369042042523
12 -0.3270717126395122 -33.09399816692298
15 -0.3270717126395122 -1.3013929317407373
572 -52.45690948773221 -65.13109375353471
682 -73.08301016174478 -97.90544542535375
701 -97.90544542535375 -98.54188883375289
733 -106.70285602074836 -118.52303298031013
743 -118.52303298031013 -123.51027404760089
832 -123.51027404760089 -129.72248020517392
1134 -184.1503708629242 -186.20264361729426
1175 -186.20264361729426 -186.2308620554538

12 3.9883075930752643 2.500471810682197
13 3.9883075930752643 -16.235783142948158
14 3.9883075930752643 -2.912955761999234
15 3.9883075930752643 -0.9237926580883942
16 3.9883075930752643 -2.267863619756891
17 3.9883075930752643 -4.154510721767078
18 3.9883075930752643 -7.881693568919185
19 3.9883075930752643 -8.35787738842972
131 -37.50736957822277 -70.65695802790367
132 -37.50736957822277 -73.34528255234015
311 -79.18735825268327 -79.20173473744111
363 -79.3673568227716 -84.22555836727334
364 -79.3673568227716 -94.8401648669175
451 -121.5303667489754 -127.95948117286326
562 -181.6949396765194 -186.09421129962197
659 -186.09421129962197 -186.38639307562295
718 -186.38639307562295 -186.63978583131745
821 -186.63978583131745 -186.6704828256878
948 -186.6704828256878 -186.72215992914815

11 6.415578377051284 5.086565671925935
12 6.415578377051284 5.566368471547175
13 6.415578377051284 -1.2188465960989885
14 6.415578377051284 0.10816376531263688
15 6.415578377051284 -0.2494576944480637
18 6.415578377051284 1.7628650639741896
19 6.415578377051284 5.031611372774932
29 -1.2188465960989885 -3.4767928531241346
47 -3.802712844086473 -6.542717366589163
49 -3.802712844086473 -6.086889002577219
99 -10.316761516276909 -11.152311187763987
109 -11.336880336290733 -14.092848386273669
209 -15.723478359967464 -21.829701239329488
289 -45.33384641997547 -45.46643733279314
379 -49.58398801198477 -68.85752261268829
489 -79.26498365915812 -103.96289405372768
1121 -186.33560535369887 -186.34596641405844
1122 -186.33560535369887 -186.44861937129605
1241 -186.44861937129605 -186.610757609228
1335 -186.610757609228 -186.70390473401324
1626 -186.72023068635946 -186.7309063501728

15 -6.2611218594636435 -15.007704904885793
16 -6.2611218594636435 -24.50023102216284
18 -6.2611218594636435 -32.55015905780923
473 -79.36160565715362 -154.76102401131794
735 -183.96391236853844 -184.15488331079592
794 -184.15488331079592 -185.81287673050872
824 -185.81287673050872 -186.46867127815133
835 -186.46867127815133 -186.51823387014412

11 1.2653368540541237 -33.220797684354196
12 1.2653368540541237 -4.991334438424968
13 1.2653368540541237 -34.59755563461662
18 1.2653368540541237 -1.6895470889070714
29 -34.59755563461662 -35.742255213593666
39 -37.23265553191808 -37.57107653063412
79 -37.57107653063412 -37.61845310961194
118 -37.61845310961194 -44.428705065236045
451 -79.41091100689637 -84.95341755673473

13 -5.803996748627877 -15.976536295197235
14 -5.803996748627877 -6.612453811835396
34 -15.976536295197235 -41.707823079664124
109 -78.37245966777026 -94.88525094830374
128 -78.37245966777026 -80.59903237804845
159 -82.20791932514013 -104.19304871121565
179 -104.19304871121565 -114.34007437089025
188 -114.69450979670034 -115.26639777415208
189 -114.69450979670034 -119.26649847958925
209 -119.26649847958925 -120.42831469394147
239 -120.42831469394147 -122.54952304498487
288 -122.54952304498487 -123.33945780299727
298 -123.33945780299727 -123.55901186553592
2019 -123.57677084590162 -170.47132218460402
2060 -170.47132218460402 -177.83770249302583
2114 -177.83770249302583 -181.65062352069336
2140 -181.65062352069336 -182.883665913543
2143 -181.65062352069336 -186.4709967463606
2537 -186.4709967463606 -186.5422895171661
2829 -186.55678584072945 -186.62066592729394
2909 -186.62066592729394 -186.62826621668182
3100 -186.6608187878992 -186.72767182319427

12 -8.752102391827341 -45.39935763672126
19 -8.752102391827341 -22.242386355132616
29 -45.39935763672126 -64.86896782298288
402 -178.98938696144458 -184.1042969521057
533 -185.14909719504152 -185.3660973932351
573 -185.3660973932351 -186.2274451341283
643 -186.2274451341283 -186.4174637526321
693 -186.4174637526321 -186.6183209734688
834 -186.61885501898587 -186.70159527392468
1005 -186.7049891355057 -186.71269984342482
1035 -186.71269984342482 -186.71363119380862
1105 -186.72181866617228 -186.7270752818245
1135 -186.7270752818245 -186.72797199727694

12 -8.294453017715501 -26.590327607882486
348 -46.457316400100716 -53.473957295483075
420 -53.473957295483075 -85.2251081868724
612 -123.28017313841005 -176.18976205208492
642 -176.18976205208492 -183.98545741456246
652 -183.98545741456246 -185.676750906579
752 -185.676750906579 -186.12842188412415
762 -186.12842188412415 -186.7162704007346

11 10.496720471236594 5.083882834806415
12 10.496720471236594 1.7423186111816296
14 10.496720471236594 -8.059172141142843
16 10.496720471236594 -0.0660188832058004
17 10.496720471236594 -8.806458356251634
18 10.496720471236594 -13.740216986152397
19 10.496720471236594 -5.712255778600905
89 -16.65022021243117 -20.62460674385249
320 -32.583247940209034 -33.05487060675004
347 -44.205332160038814 -63.44442414410833
502 -183.10940938256047 -184.9600900798289
541 -184.9600900798289 -185.52519406146314
542 -184.9600900798289 -186.0857954563085
759 -186.26556118425313 -186.7138131103587
763 -186.26556118425313 -186.58693805573353

16 -23.533875096813382 -75.16886435256257
150 -179.26751854187205 -185.11152938716498
220 -185.11152938716498 -186.48318978494922
230 -186.48318978494922 -186.5491356593999

12 -8.011096258847823 -22.7331114764505
16 -8.011096258847823 -13.484171504632824
129 -24.721469398463466 -28.114515719081147
310 -39.559565841150594 -43.51947884795648
410 -49.20295727102931 -52.59782777563976
546 -54.39837443012183 -63.23679733775356
2618 -79.41091322142171 -88.20729988632785
2644 -112.11309975900757 -125.70566697447926
2652 -125.70566697447926 -161.58969267140404
2654 -125.70566697447926 -175.00403912569234
2655 -125.70566697447926 -180.02393542876425
2658 -125.70566697447926 -154.30835265920487
2707 -180.02393542876425 -184.7329331140217
3193 -186.2116617742026 -186.28981590891632

12 6.767018737638442 -8.638117378578903
13 6.767018737638442 3.4053143016543874
15 6.767018737638442 0.8541901362844558
16 6.767018737638442 -0.19101752640565867
17 6.767018737638442 -2.2575215713156234
18 6.767018737638442 -7.579712736924112
19 6.767018737638442 -3.8616833248985425
29 -8.638117378578903 -10.28294179813435
39 -10.28294179813435 -11.925366967118084
54 -11.925366967118084 -13.948006133126535
69 -16.78700036499138 -23.072353375557984
88 -27.63672384540828 -38.22581846168056
331 -76.91080641161138 -77.96598602919403
341 -77.96598602919403 -79.09976164419885
440 -79.11622996717617 -79.40858645470475
610 -79.17969592242937 -79.38570042758104
803 -79.38570042758104 -79.39424317491967
842 -79.39424317491967 -79.39435405443635
933 -79.3943540551227 -79.4107942131141
2268 -79.41091319846966 -174.82520651592935
2428 -174.82520651592935 -177.63917321286976
2529 -177.63917321286976 -185.67138843954407
2646 -185.67138843954407 -186.34316503380933
2671 -186.34316503380933 -186.63828370991212

11 32.90009951219136 -14.218352483940256
12 32.90009951219136 -0.026604214479171738
13 32.90009951219136 -40.44254477174202
14 32.90009951219136 6.464812202310725
15 32.90009951219136 23.70942355325753
16 32.90009951219136 8.084710906086565
17 32.90009951219136 -0.9368979606150151
18 32.90009951219136 17.498435392057747
19 32.90009951219136 -2.3151707537248334
140 -53.47345968697406 -53.528551597863256
160 -53.528551597863256 -53.77748068314583
200 -53.77748068314583 -54.34331727041387
230 -54.34331727041387 -54.37321412178429
275 -54.37321412178429 -66.01495674229277

11 11.873121118834069 2.9879604111256626
12 11.873121118834069 -2.406609696686202
13 11.873121118834069 -6.372246780863849
14 11.873121118834069 -0.8034875627297823
15 11.873121118834069 -0.8310784574415505
16 11.873121118834069 -6.253031638804553
17 11.873121118834069 -24.544423862530316
18 11.873121118834069 -33.612124363518184
19 11.873121118834069 -22.748875390272623
49 -34.63366844032602 -38.31374342299972
170 -45.940555477145175 -46.48530927857639
210 -46.48530927857639 -46.5057934656447
510 -46.511182809296905 -48.42638657268778
611 -49.476045322755475 -53.195687166223536
720 -78.91194707733757 -120.48606484011454
883 -174.16078944755287 -175.92356782186687
893 -175.92356782186687 -180.68140580643947
940 -183.03705384058742 -186.71401604058823

11 0.29857482233703275 -41.17921820586796
13 0.29857482233703275 -10.491713485705374
15 0.29857482233703275 -20.962045865863683
16 0.29857482233703275 -52.040895950320866
17 0.29857482233703275 -3.0231914588130024
18 0.29857482233703275 -0.945526882630867
140 -52.60387076219328 -55.36283020238502
703 -79.3959445318435 -133.44651723595635
836 -182.0273998097886 -182.72731891274498
916 -182.72731891274498 -184.36775875142266
936 -184.36775875142266 -185.85609965662877
975 -185.85609965662877 -186.64311344446838

11 2.5223995123001623 0.6001540195570023
12 2.5223995123001623 -4.187355409559893
16 2.5223995123001623 -7.495749103619047
17 2.5223995123001623 -127.30139567078433
18 2.5223995123001623 1.3808470356899536
19 2.5223995123001623 -16.654749850893317

12 -1.322638331565457 -28.45729267088222
13 -1.322638331565457 -9.386249990035106
16 -1.322638331565457 -24.836285521886687
17 -1.322638331565457 -12.485476698303106
19 -1.322638331565457 -5.5620065191288415
29 -28.45729267088222 -32.233798901379636
83 -33.944021852699734 -38.54499551444079

11 4.734058559355612 -0.3138921936070122
12 4.734058559355612 0.16503377113170978
13 4.734058559355612 -10.614235460242835
15 4.734058559355612 0.19503621222843062
16 4.734058559355612 3.8618281911611745
17 4.734058559355612 -1.925767896518842
18 4.734058559355612 -20.711938357907247
19 4.734058559355612 -67.40022610638167
311 -79.30213085380781 -79.38834632543423
349 -79.38834632543423 -108.38181120812206
854 -186.58417132068166 -186.69949864500234
1056 -186.69949864500234 -186.70587670208857

11 -21.295089884968032 -32.8722939398908
14 -21.295089884968032 -153.9002611441927
16 -21.295089884968032 -27.672272855115594

12 3.4951326440713446 -2.0238208866967273
13 3.4951326440713446 -9.229743000114395
18 3.4951326440713446 -4.342090815518076
19 3.4951326440713446 -7.298026559119473
29 -9.229743000114395 -11.994831487144204
69 -17.976077658152448 -20.15000441478969
79 -21.42808345509833 -23.366172458956495
230 -39.4803784595348 -40.06041123085797
870 -79.3459617548934 -82.54908206774986
875 -79.3459617548934 -162.06629953044305
1064 -185.91903638049732 -186.5316663547102
1547 -186.54658558902517 -186.7082864756015
1711 -186.7082864756015 -186.71887757155

12 3.1678811084459624 -9.054387464832102
13 3.1678811084459624 -2.421451551176967
14 3.1678811084459624 1.0084954049861965
15 3.1678811084459624 -4.3551183442409585
16 3.1678811084459624 0.9185413249749813
18 3.1678811084459624 -62.903405251112474
493 -185.58244068449156 -185.9528340612292
614 -185.9528340612292 -186.1888723090561
654 -186.1888723090561 -186.3835508466111
664 -186.3835508466111 -186.5654711774034

11 0.9129427433307736 -0.8052075889984591
13 0.9129427433307736 -8.629344681605351
14 0.9129427433307736 -2.606398703925604
16 0.9129427433307736 -1.426279651341804
17 0.9129427433307736 -26.337162484118842
18 0.9129427433307736 -0.6685555288325439
160 -31.627687350749152 -41.76220344521048
583 -46.50973895306737 -69.43625986159242
744 -183.2413383399742 -184.17188971851863
844 -184.17188971851863 -186.2466016167249
953 -186.2466016167249 -186.40680701412117
1080 -186.40680701412117 -186.70778291008196

11 12.318529648006084 -7.375083199941012
12 12.318529648006084 0.011373728674645622
13 12.318529648006084 -0.20845107266238877
14 12.318529648006084 -0.8587755395753894
15 12.318529648006084 3.1212284910454997
18 12.318529648006084 5.211776678584118
59 -8.262148385433488 -8.605581032837605
78 -10.215717103403033 -10.794031038095465
99 -10.794031038095465 -25.14101682566383
230 -41.63502046169387 -45.83746511226603
1553 -123.57677075617778 -175.9694654887385
1631 -175.9694654887385 -177.5788136793513
1640 -177.5788136793513 -181.12225182826128
1648 -181.12225182826128 -181.8477903064395
1656 -181.8477903064395 -186.0905948899711
1913 -186.0905948899711 -186.28679106515156
2205 -186.28679106515156 -186.66983814148105
2709 -186.66983814148105 -186.6817465715549
2749 -186.6817465715549 -186.70519140841742

11 -3.5871566710615816 -13.122844409258505
14 -3.5871566710615816 -20.782371972511775
1112 -186.40286630479443 -186.41500076985432
1213 -186.48119407317978 -186.7237373681039

13 -27.961514420862194 -34.647521486481395
200 -78.64672795605037 -97.25566652241501
401 -178.812790756572 -186.52360992477722
411 -186.52360992477722 -186.55087240902998

12 -0.14276423106997088 -52.04859552107753
15 -0.14276423106997088 -9.521678088612415
16 -0.14276423106997088 -11.145606254052769
17 -0.14276423106997088 -9.837991750050525
18 -0.14276423106997088 -36.81957623363959
19 -0.14276423106997088 -16.124997917470722
301 -78.67898451502242 -79.35922589207694
432 -79.37837027371761 -79.40693590036625
1071 -79.41091235822806 -107.09256981528611
1127 -162.198310029941 -176.64035709556478

11 1.2895391339872495 0.10826320767541972
13 1.2895391339872495 -0.16972330197722335
14 1.2895391339872495 -32.42251759336195
17 1.2895391339872495 -16.518410144601724
39 -35.36624915289117 -53.82342239886584
219 -75.3346490419874 -78.60247627521962
240 -78.60247627521962 -78.98292394205575
290 -79.36773402229808 -79.38645371075654
510 -79.38694683182972 -140.33351658171847
652 -184.1625095677509 -185.31704614929845

12 -3.2759983740163703 -6.4371689783118065
18 -3.2759983740163703 -3.793707282188847
36 -6.4371689783118065 -7.349492779758429
37 -6.4371689783118065 -8.043133200983558
39 -6.4371689783118065 -10.148660701781377
69 -12.790786837026785 -28.666457191827977
119 -36.89750124250917 -37.169962905745535
129 -37.169962905745535 -49.19275506992122
572 -52.3133607290223 -80.44367558841707
652 -120.87885379913372 -122.21019030439957
722 -122.21019030439957 -122.78071318449763
1310 -123.57351397363644 -130.6004595703393
1415 -174.3492235075601 -176.67240308826263
1417 -174.3492235075601 -175.23153688931396
1434 -176.67240308826263 -182.64627495178007
1447 -182.64627495178007 -186.70127721671162
1451 -186.70127721671162 -186.7021441757498

11 2.45364194088708 -19.081444627237182
12 2.45364194088708 -0.24007845276227044
13 2.45364194088708 0.4665996896008076
15 2.45364194088708 1.6571087856535183
16 2.45364194088708 -14.398407730312018
17 2.45364194088708 -3.278280864562656
19 2.45364194088708 -1.1327931508387885
38 -19.081444627237182 -23.653076149947314
49 -23.745740916501433 -35.64520087576186
79 -43.00780381085634 -66.26727178897089
200 -144.22720348865894 -169.72015218383845
220 -174.91892304189122 -183.69310256571376
230 -183.69310256571376 -184.76828810394443
240 -184.76828810394443 -185.51017028814172
310 -185.51017028814172 -185.93819953262786
320 -185.93819953262786 -186.13449921790846
340 -186.13449921790846 -186.31958651112055
439 -186.31958651112055 -186.60230715882741
569 -186.60230715882741 -186.61921928431065
571 -186.60230715882741 -186.68310963755636
689 -186.68597467097743 -186.69085215155144
722 -186.69085215155144 -186.69275241316902
732 -186.69275241316902 -186.69370363218044
903 -186.71545731877762 -186.7257289181958
963 -186.7257289181958 -186.72649661185432

15 -0.8414176704687658 -32.02865516686889
18 -0.8414176704687658 -1.3355327057706257
466 -52.040255319135824 -77.91412722014668
624 -184.91684314787665 -185.2086320676032
634 -185.2086320676032 -186.28156834249214
654 -186.28156834249214 -186.71045153721576

12 -0.790595583576522 -13.346842179613231
15 -0.790595583576522 -10.926512772570003
19 -0.790595583576522 -4.226519138246067
58 -15.0042593306695 -16.711389636074408
109 -24.86074252023681 -26.963659434766864
223 -52.54884459443609 -57.40335791338883

11 6.867238785561184 3.400775307476649
12 6.867238785561184 1.4181128641267227
13 6.867238785561184 -2.4665609966156965
14 6.867238785561184 1.452543008404176
16 6.867238785561184 -4.749750975436008
17 6.867238785561184 4.900997535727002
18 6.867238785561184 0.06647112888262921
19 6.867238785561184 -3.5642992062109538
29 -4.749750975436008 -5.274734237141722
170 -30.42455629537483 -30.7512454559194
200 -30.7512454559194 -30.766375792506622
289 -30.768107222124677 -30.86132954667178
307 -30.86132954667178 -37.26862190198894
398 -46.12171142692145 -62.968605959174084
620 -123.49109522469031 -143.5201419943967
721 -184.73469483314958 -185.81405263315733
859 -186.41132312446825 -186.63717574875562
882 -186.63717574875562 -186.65878307154745

14 -15.03964797652662 -31.55297761242137
709 -123.28945363665267 -123.55974485154799
836 -123.55974485154799 -123.56933944440136
2735 -123.57677080485993 -133.32591498952263
2770 -133.32591498952263 -135.86237382281408
2786 -166.70411345816922 -182.2355497430466
2809 -182.2355497430466 -186.00284400005776
2891 -186.00284400005776 -186.6896082531017

13 6.0207352908042155 0.15351805795702037
15 6.0207352908042155 -0.813646099515821
17 6.0207352908042155 -33.82978852769529
18 6.0207352908042155 -2.009378332575098
19 6.0207352908042155 -3.7346905589982105
392 -170.10561147411323 -175.26236387216684
412 -175.26236387216684 -181.48972709387573
472 -183.98745918601685 -185.62146123111282

382 -39.374841132136424 -39.39629350632133
439 -39.39629350632133 -59.911898662387266
593 -119.88697386736762 -122.24231047361721
663 -122.24231047361721 -122.81773690670524
814 -123.56298993045365 -172.7330898080677
864 -172.7330898080677 -183.90755334932427
1040 -186.0294662679218 -186.30418144261546
1045 -186.0294662679218 -186.45595616207837
1121 -186.45595616207837 -186.71123719300311

19 -15.359430332290183 -17.658087858982203
28 -23.34633752347552 -25.812158982673278
170 -45.636071140129985 -46.39177654097283
190 -46.73480382222585 -49.462164279117026
200 -49.462164279117026 -51.00747402405736
532 -52.039919311489015 -56.46766804727403
540 -56.46766804727403 -68.02597881184673
552 -68.02597881184673 -69.75520433960912
622 -77.1934383895914 -77.27210355014385
763 -78.26000288797044 -79.33587545124504
879 -79.33587545124504 -114.97865424367377

11 -38.438617760817515 -186.04097296875153

11 13.227035020428216 1.5599857287990835
12 13.227035020428216 10.04145760207325
13 13.227035020428216 8.88531705940588
14 13.227035020428216 3.96545070408498
16 13.227035020428216 4.36238880628669
17 13.227035020428216 -4.001030040066762
18 13.227035020428216 -0.664012173533327
19 13.227035020428216 -3.6974010331137985
150 -27.386814012318283 -28.896138569563977
260 -30.388985077139434 -30.669539618177335
401 -50.91846811148524 -51.34419399166268
